c0_svm_stage1_stack,c1_svm_stage1_stack,c2_svm_stage1_stack
0.2844876591416383,0.6314082049290897,0.08410413592927204
0.8868946327727235,0.08004153377698182,0.03306383345029479
0.8961836552655383,0.07199303636522336,0.031823308369238315
0.9574225602270566,0.04034820327751969,0.0022292364954237215
0.8661167378783388,0.1305608704583518,0.0033223916633094317
0.9065056544812957,0.02935783804562844,0.06413650747307593
0.9888189519906169,0.00607068750534888,0.005110360504034608
0.11750036137114553,0.06045596579748951,0.822043672831365
0.8462724826606586,0.1456982690081447,0.00802924833119662
0.893218814334983,0.10121350704846012,0.0055676786165568745
0.8317338229038483,0.16033938216515634,0.007926794930995247
0.8325999585539445,0.15910618970180834,0.008293851744247162
0.9923124842462373,0.004119594466999639,0.0035679212867631704
0.9566854474994938,0.025093797389175936,0.01822075511133038
0.9567292253451205,0.027714900780598833,0.015555873874280497
0.9481357072500308,0.03854149528882649,0.01332279746114267
0.5127189963603414,0.020308851746828945,0.4669721518928297
0.7850779223406481,0.18813859114966994,0.026783486509681965
0.7306659878484282,0.24654718275987672,0.022786829391695174
0.7323885978673697,0.2434489530616695,0.024162449070960792
0.9765275553930133,0.020055406566756934,0.0034170380402299325
0.4895845939031613,0.4315143856867824,0.07890102041005617
0.9759558228938011,0.02254561981130895,0.0014985572948899599
0.9786276632627134,0.02012689810754838,0.001245438629738182
0.9672907218860327,0.03099547475701561,0.0017138033569518317
0.7396607155569866,0.21960272704381426,0.040736557399199014
0.9732630953614569,0.008685958168111371,0.01805094647043165
0.9490781048706628,0.030330178646585,0.020591716482752268
0.9918829667562709,0.007573681373930181,0.0005433518697986299
0.7085111125683613,0.28320417238909357,0.008284715042545071
0.8425540102473595,0.15107028618655177,0.006375703566088811
0.8299130968976808,0.16322990964875433,0.006856993453564849
0.7979085837779447,0.1947856025039092,0.007305813718146044
0.4054782239897904,0.5883085255832927,0.006213250426916824
0.6114436289000155,0.3828208681018877,0.0057355029980968725
0.11091664243855327,0.06671066550385542,0.8223726920575913
0.08653957904801597,0.057211214469879736,0.8562492064821042
0.9792477115608456,0.019571532018013715,0.0011807564211405786
0.8052867569109129,0.18631112396811997,0.008402119120967224
0.9497678292594685,0.006174479470596773,0.04405769126993488
0.9926966642068414,0.003930058856899332,0.003373276936259054
0.39728779269145764,0.0424996457160652,0.5602125615924771
0.3784941806914863,0.05374375050433188,0.5677620688041818
0.42925229731639847,0.05290073834087643,0.517846964342725
0.8518839825022217,0.11102593052054895,0.03709008697722934
0.9212458246484807,0.07383622895230331,0.004917946399216124
0.9517298863468329,0.04615343823960568,0.002116675413561275
0.7830767760164512,0.014112162714967904,0.20281106126858095
0.9240943821279457,0.07133440539089231,0.004571212481161995
0.94482536534077,0.05290373864604797,0.00227089601318216
0.2501265753786688,0.05236672683272736,0.697506697788604
0.23798874343772733,0.06286235561863081,0.6991489009436418
0.7797612064929395,0.21256942796897688,0.007669365538083734
0.7928531368892566,0.20058976882880827,0.006557094281935107
0.5975898276458703,0.398248548409996,0.004161623944133688
0.7268624228524464,0.2691816979490852,0.00395587919846833
0.6655794008416942,0.33069484320145226,0.003725755956853491
0.6893965785078098,0.3062675543455519,0.0043358671466382
0.28729796673318414,0.016509937570126126,0.6961920956966898
0.2679104044689081,0.6579214073526924,0.07416818817839954
0.8442831882135178,0.14855776818655772,0.007159043599924408
0.2920301680548504,0.08319042066330051,0.624779411281849
0.21803105235906947,0.09815282894671111,0.6838161186942194
0.9899649037875292,0.009030816342954343,0.0010042798695163323
0.5810860404770496,0.02067751137864171,0.39823644814430875
0.9774464109597538,0.010198635219289485,0.01235495382095661
0.557226939002568,0.43723095099859,0.0055421099988419344
0.9908842970953444,0.005104427281891777,0.004011275622763797
0.3984481405796315,0.018088749371296273,0.5834631100490723
0.8846740663901684,0.11278244200825356,0.0025434916015779348
0.7382811331420507,0.07014776472503116,0.19157110213291803
0.6022537061362897,0.3919382399066834,0.0058080539570269825
0.9812540315386324,0.005965657076726224,0.012780311384641349
0.6306437741864276,0.3571942544805481,0.012161971333024494
