c0_rf_stage1_stack,c1_rf_stage1_stack,c2_rf_stage1_stack
0.3459666666666667,0.6385333333333333,0.0155
0.8928666666666667,0.08563333333333333,0.0215
0.9040333333333335,0.07446666666666667,0.0215
0.9497333333333333,0.05026666666666667,0.0
0.8976333333333333,0.08586666666666666,0.0165
0.8845,0.045,0.0705
0.9693333333333333,0.006166666666666666,0.0245
0.012666666666666666,0.0048,0.9825333333333334
0.6473000000000001,0.35070000000000007,0.002
0.9900000000000001,0.008,0.002
0.8291000000000002,0.17089999999999994,0.0
0.8792666666666668,0.11973333333333334,0.001
0.95,0.002,0.048
0.997,0.0025,0.0005
0.996,0.0,0.004
0.992,0.006,0.002
0.2576666666666667,0.012,0.7303333333333333
0.9483333333333334,0.04766666666666666,0.004
0.8121777777777778,0.18782222222222222,0.0
0.8084000000000002,0.19159999999999996,0.0
0.983,0.013,0.004
0.32246190476190467,0.3828714285714287,0.29466666666666663
0.994,0.006,0.0
0.9873333333333334,0.012666666666666666,0.0
0.9823333333333333,0.017666666666666664,0.0
0.6789666666666667,0.3122,0.008833333333333332
0.8855333333333334,0.004,0.11046666666666669
0.998,0.002,0.0
0.9273666666666666,0.06863333333333334,0.004
0.5231095238095237,0.4768904761904763,0.0
0.8970666666666666,0.10293333333333335,0.0
0.9394666666666667,0.060533333333333335,0.0
0.9140761904761904,0.08592380952380954,0.0
0.1276904761904762,0.8723095238095238,0.0
0.3033571428571429,0.6966428571428571,0.0
0.012666666666666666,0.044599999999999994,0.9427333333333334
0.0115,0.014166666666666666,0.9743333333333334
0.9494904761904761,0.050509523809523824,0.0
0.9080666666666667,0.09193333333333334,0.0
0.793446031746032,0.0,0.20655396825396818
0.992,0.0,0.008
0.1584333333333334,0.0,0.8415666666666665
0.19943333333333338,0.0036666666666666666,0.7968999999999999
0.15276666666666666,0.012,0.8352333333333334
0.8246,0.1392,0.0362
0.971957142857143,0.028042857142857144,0.0
0.9763333333333335,0.02366666666666667,0.0
0.9077000000000001,0.002,0.09029999999999999
0.9641238095238095,0.03587619047619047,0.0
0.9482238095238095,0.051776190476190476,0.0
0.14113333333333336,0.004666666666666666,0.8542000000000003
0.11279047619047615,0.025633333333333334,0.8615761904761905
0.9368000000000001,0.06319999999999999,0.0
0.7681428571428569,0.23185714285714287,0.0
0.3058666666666667,0.6941333333333334,0.0
0.7213809523809522,0.2786190476190476,0.0
0.23913333333333336,0.7608666666666666,0.0
0.6358285714285714,0.36417142857142853,0.0
0.277,0.0,0.7229999999999999
0.13577619047619047,0.8310904761904763,0.03313333333333333
0.7813333333333334,0.2066666666666666,0.012
0.23066666666666666,0.020666666666666667,0.7486666666666668
0.08835952380952378,0.061599999999999995,0.850040476190476
0.9555333333333336,0.04446666666666667,0.0
0.5538333333333333,0.0,0.4461666666666667
0.992,0.004,0.004
0.3165333333333333,0.6834666666666667,0.0
0.999,0.0,0.001
0.3456,0.0013333333333333333,0.6530666666666667
0.8093333333333333,0.19066666666666665,0.0
0.7994761904761905,0.025523809523809525,0.175
0.6806666666666665,0.3193333333333333,0.0
0.9829999999999999,0.0,0.017
0.5059428571428571,0.48805714285714286,0.006
0.5001666666666666,0.4911666666666667,0.008666666666666666
0.16901190476190478,0.014047619047619047,0.8169404761904763
0.164,0.0,0.8360000000000001
0.2414333333333333,0.0,0.7585666666666667
0.8361000000000001,0.1474,0.0165
0.996,0.003999999999999999,0.0
0.9856666666666666,0.0,0.014333333333333332
0.9966666666666667,0.003333333333333333,0.0
0.11014285714285715,0.0,0.8898571428571429
0.9768333333333333,0.02316666666666667,0.0
0.9975,0.0025,0.0
0.9778333333333333,0.022166666666666668,0.0
0.18915238095238096,0.002,0.8088476190476189
0.24523333333333333,0.0016,0.7531666666666667
0.9242333333333334,0.07576666666666666,0.0
0.3108333333333333,0.0094,0.6797666666666666
0.5744047619047619,0.014733333333333333,0.41086190476190454
0.8099666666666667,0.021000000000000005,0.1690333333333333
0.3707634920634923,0.2684119047619047,0.3608246031746029
0.060833333333333336,0.4865547619047619,0.45261190476190477
0.996,0.004,0.0
0.996,0.004,0.0
0.8368904761904762,0.12370476190476191,0.03940476190476191
0.6582666666666666,0.17704999999999999,0.16468333333333332
0.47774761904761903,0.04261904761904762,0.4796333333333333
0.16603333333333337,0.0,0.8339666666666665
0.08197619047619047,0.7630904761904761,0.15493333333333334
0.7066,0.2914,0.002
0.16203809523809526,0.8347952380952381,0.0031666666666666666
0.994,0.006,0.0
0.9841666666666667,0.0,0.01583333333333333
0.7734333333333334,0.18386666666666662,0.0427
0.7116738095238098,0.27562619047619047,0.0127
0.9576666666666668,0.042333333333333334,0.0
0.9955,0.0,0.0045
0.966,0.027666666666666666,0.006333333333333333
0.9820000000000001,0.018,0.0
0.7835666666666666,0.2072333333333333,0.0092
1.0,0.0,0.0
0.9698999999999999,0.0301,0.0
0.9494666666666666,0.0,0.05053333333333334
0.8272999999999999,0.1727,0.0
0.8571666666666666,0.1428333333333333,0.0
0.9763333333333334,0.0,0.023666666666666666
1.0,0.0,0.0
1.0,0.0,0.0
0.9557333333333333,0.002,0.042266666666666675
0.9512666666666668,0.002,0.046733333333333335
0.92645,0.0179,0.05564999999999999
0.9966666666666667,0.0,0.003333333333333333
0.968,0.032,0.0
0.995,0.005,0.0
0.996,0.004,0.0
0.999,0.001,0.0
0.993,0.0,0.007
0.9706666666666667,0.029333333333333333,0.0
0.9690000000000001,0.031,0.0
0.9975,0.0025,0.0
0.9515000000000001,0.048499999999999995,0.0
0.9830000000000001,0.017,0.0
0.8925,0.1075,0.0
0.985,0.015,0.0
0.17346666666666666,0.001,0.8255333333333333
0.9161,0.013666666666666666,0.07023333333333333
0.9268619047619047,0.0,0.07313809523809527
0.8842952380952381,0.015,0.10070476190476191
0.1991,0.7938999999999999,0.007
0.2556388888888889,0.0,0.7443611111111111
0.996,0.0,0.004
0.998,0.0,0.002
0.2689666666666667,0.7310333333333333,0.0
0.8976666666666666,0.10233333333333333,0.0
0.6804761904761903,0.3195238095238095,0.0
0.9514,0.0466,0.002
0.5002,0.4998,0.0
0.5590666666666668,0.44093333333333345,0.0
0.998,0.002,0.0
0.9830333333333333,0.0,0.016966666666666668
0.9644666666666667,0.0,0.03553333333333333
0.23496666666666663,0.7650333333333335,0.0
0.7301333333333333,0.26986666666666664,0.0
0.22519999999999998,0.7747999999999999,0.0
1.0,0.0,0.0
0.9191333333333334,0.0,0.08086666666666667
0.3461,0.6538999999999999,0.0
0.4475857142857143,0.010833333333333334,0.5415809523809525
0.1364,0.0,0.8636
0.6505809523809524,0.28873333333333334,0.060685714285714315
1.0,0.0,0.0
0.985,0.004,0.011
0.9917999999999999,0.0008,0.0074
0.8332999999999999,0.16603333333333337,0.0006666666666666666
0.19955714285714288,0.036771428571428566,0.7636714285714284
0.998,0.0,0.002
0.8485000000000001,0.04,0.1115
0.8196999999999999,0.018866666666666667,0.16143333333333335
0.9821666666666666,0.017833333333333333,0.0
0.9706,0.0294,0.0
0.998,0.0013333333333333333,0.0006666666666666666
0.996,0.002,0.002
0.9923333333333333,0.0,0.007666666666666666
1.0,0.0,0.0
1.0,0.0,0.0
0.998,0.002,0.0
0.11452380952380953,0.6171666666666668,0.2683095238095237
0.4443333333333333,0.5556666666666666,0.0
0.27396666666666664,0.7260333333333333,0.0
0.6798428571428572,0.32015714285714286,0.0
0.8444666666666668,0.15553333333333333,0.0
0.9815,0.0185,0.0
0.972,0.028,0.0
0.9903333333333334,0.009666666666666665,0.0
0.989,0.011,0.0
0.05533333333333333,0.006999999999999999,0.9376666666666666
0.04,0.0031666666666666666,0.9568333333333334
0.18476666666666672,0.0065,0.8087333333333331
0.455104761904762,0.2080333333333333,0.3368619047619048
0.050633333333333336,0.4627999999999999,0.48656666666666676
0.9264000000000001,0.0736,0.0
0.9680333333333333,0.03196666666666667,0.0
0.965,0.008666666666666666,0.026333333333333337
0.2005333333333333,0.552052380952381,0.24741428571428578
0.9551666666666667,0.0,0.044833333333333336
0.5663333333333332,0.111,0.3226666666666666
0.9963333333333334,0.0,0.0036666666666666666
1.0,0.0,0.0
0.9629666666666664,0.0,0.037033333333333335
0.9629666666666664,0.0,0.037033333333333335
0.8127000000000001,0.1873,0.0
1.0,0.0,0.0
0.7803333333333331,0.20899999999999994,0.010666666666666668
0.9955,0.0,0.0045
0.9637666666666667,0.0,0.03623333333333333
0.9551333333333333,0.008,0.036866666666666666
0.9921666666666666,0.007833333333333333,0.0
0.9976,0.0024,0.0
0.18694761904761903,0.6535238095238095,0.15952857142857146
0.1491222222222222,0.08094126984126984,0.7699365079365078
0.753047619047619,0.0,0.24695238095238095
0.8149809523809525,0.0,0.18501904761904764
0.02994285714285714,0.016766666666666666,0.9532904761904761
0.020166666666666663,0.4796285714285712,0.5002047619047622
0.6978333333333334,0.0074,0.2947666666666666
0.998,0.002,0.0
1.0,0.0,0.0
0.97,0.025,0.005
0.968,0.025666666666666664,0.006333333333333333
0.968,0.025666666666666664,0.006333333333333333
0.9683333333333333,0.03166666666666666,0.0
0.9809333333333334,0.017066666666666667,0.002
0.998,0.002,0.0
0.9813333333333334,0.0,0.018666666666666665
0.23513333333333336,0.003,0.7618666666666668
0.5858333333333333,0.4141666666666667,0.0
0.5729000000000001,0.005066666666666667,0.4220333333333333
0.0288,0.040433333333333335,0.9307666666666666
0.8514214285714289,0.1305119047619048,0.018066666666666665
0.9423000000000001,0.04069999999999999,0.017
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.9955,0.0,0.0045
0.0913,0.025433333333333332,0.8832666666666665
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.1915904761904762,0.7836761904761905,0.02473333333333333
0.9944761904761905,0.0,0.005523809523809524
0.9743333333333335,0.0006666666666666666,0.025
0.961,0.0026666666666666666,0.03633333333333333
0.15783333333333335,0.0,0.8421666666666666
0.18713333333333335,0.0,0.8128666666666665
0.998,0.0,0.002
0.9913333333333334,0.004666666666666667,0.004
0.987,0.0,0.013
0.9933333333333333,0.006666666666666667,0.0
1.0,0.0,0.0
0.998,0.002,0.0
1.0,0.0,0.0
0.99,0.006,0.004
0.826847619047619,0.17315238095238092,0.0
0.9923333333333333,0.007666666666666666,0.0
0.968,0.032,0.0
0.9929333333333334,0.007066666666666666,0.0
0.251,0.7489999999999998,0.0
0.21913333333333337,0.7808666666666668,0.0
0.8036333333333333,0.19636666666666663,0.0
0.995,0.005,0.0
0.98,0.02,0.0
0.5439047619047614,0.45092857142857135,0.005166666666666666
0.9676666666666667,0.012333333333333332,0.02
1.0,0.0,0.0
1.0,0.0,0.0
0.933,0.062,0.005
0.38293571428571443,0.04452619047619047,0.5725380952380954
0.8743333333333334,0.11933333333333336,0.006333333333333333
0.977,0.002,0.021
0.3332333333333333,0.6667666666666666,0.0
0.5068190476190477,0.4931809523809523,0.0
0.49810952380952395,0.49972380952380935,0.0021666666666666666
0.30850000000000005,0.6915000000000001,0.0
0.21030000000000001,0.002,0.7877
