c0_gbdt_stage1_stack,c1_gbdt_stage1_stack,c2_gbdt_stage1_stack
0.26389616358215273,0.6948527491826197,0.041251087235227274
0.9418550399211236,0.04213016038410397,0.016014799694772493
0.9481189675002839,0.03660857131194839,0.01527246118776775
0.9726369569456518,0.02652014672217529,0.0008428963321728546
0.9063117227054244,0.09286340832347365,0.0008248689711018785
0.9723583675697831,0.009359711085633429,0.01828192134458353
0.9937275045990833,0.0035408152182589605,0.002731680182657698
0.0427434857363949,0.03162970379714236,0.9256268104664627
0.8742658364200411,0.12198499660632317,0.0037491669736357336
0.937790667240942,0.06069137718666716,0.0015179555723909184
0.8541034327922229,0.1413981912279028,0.004498375979874147
0.8462390446233631,0.14898908372854863,0.00477187164808833
0.9979795698978798,0.0011944000401650065,0.000826030061955228
0.9819655653330058,0.012762111311797525,0.005272323355196713
0.979329176800097,0.014114845473867137,0.006555977726035731
0.9788934263662905,0.01552622751878617,0.0055803461149233425
0.32611938661755685,0.009788363793196881,0.6640922495892463
0.8026201681583853,0.1853076454051729,0.012072186436441845
0.706795219455471,0.2810222611212091,0.01218251942331995
0.7780806304623387,0.20577559604965515,0.01614377348800617
0.9867209186831501,0.011730727830789933,0.0015483534860600042
0.5397997066784899,0.40902260647701755,0.05117768684449264
0.9906257883822372,0.009096764606265025,0.0002774470114977952
0.991040391857706,0.008649248854223199,0.0003103592880709608
0.989978550580241,0.009748044157276993,0.00027340526248190064
0.8470728958950362,0.1262992593984407,0.026627844706523074
0.9754827742878198,0.006973780908146167,0.01754344480403399
0.9782243496786509,0.015824972225757857,0.005950678095591221
0.9977230521057497,0.0021923126618344562,8.463523241586087e-05
0.6906631395112635,0.30530972754610275,0.004027132942633682
0.8984135687297945,0.09959079574105813,0.0019956355291475348
0.8611217607920354,0.1356631504128443,0.0032150887951203026
0.8481232362530793,0.14848982411176426,0.003386939635156614
0.29588116649038226,0.7008309718030955,0.003287861706522355
0.6153246735857211,0.38233447352020483,0.002340852894074104
0.05879214049196386,0.0483613561435003,0.8928465033645357
0.03258438400431186,0.028296213801641247,0.9391194021940469
0.9920972852991333,0.007661520871531467,0.00024119382933507913
0.8211877487342776,0.17490067187666702,0.003911579389055236
0.963032215860502,0.002531504272370616,0.034436279867127224
0.9971664942519185,0.001480969083345704,0.0013525366647355232
0.29216263188430586,0.02709959730606902,0.6807377708096252
0.3232642778812708,0.03475096421403203,0.6419847579046971
0.39727694672141856,0.027007913359376103,0.5757151399192053
0.9134804782528783,0.06117424370582547,0.025345278041296222
0.9685217336607002,0.030028441748190103,0.0014498245911095992
0.9751045714366957,0.02421105553128173,0.0006843730320224999
0.854743210705486,0.00890667314747347,0.13635011614704065
0.9693284847732166,0.02934567216210664,0.0013258430646766659
0.9843365517887719,0.015209867691290397,0.0004535805199377861
0.14304102090476295,0.024369127485328313,0.8325898516099088
0.19330481287652979,0.052210838617123355,0.7544843485063468
0.8071911731276917,0.1892611991483319,0.00354762772397651
0.7459077211978287,0.2504438548786374,0.0036484239235337807
0.5082916835278989,0.4900522147515049,0.0016561017205961647
0.7497932626361368,0.24910085271030227,0.001105884653561009
0.5143024376977539,0.4850244772095483,0.0006730850926977943
0.7207801582988893,0.2778985433694847,0.0013212983316259475
0.21444449099422933,0.006319991863047153,0.7792355171427235
0.2416155190343858,0.7073051256081548,0.051079355357459444
0.8762062044412483,0.12012850606849032,0.003665289490261469
0.2948137650832425,0.049574933105010786,0.6556113018117468
0.1391297740379848,0.05928818821774699,0.8015820377442683
0.9979394018602292,0.0018587858033565258,0.00020181233641406444
0.5928876289969367,0.00995900291729989,0.3971533680857635
0.9893743264288742,0.004580648525778842,0.006045025045346888
0.36868502132543274,0.6295844153163629,0.0017305633582042957
0.9972883828486244,0.001704416648873625,0.0010072005025019608
0.2755416007994613,0.007332584070731905,0.7171258151298068
0.9106354713040431,0.08862082071518594,0.0007437079807710478
0.8612563639876903,0.06196992882132459,0.07677370719098511
0.5670180461567765,0.430049246397932,0.0029327074452913755
0.9914084994255865,0.0028551945971650497,0.0057363059772484295
0.5458471366851956,0.4476945604586411,0.006458302856163425
0.6851707920922289,0.30443108343000197,0.010398124477769088
0.36868112069578907,0.036162746024779584,0.5951561332794313
0.20564113850133856,0.0208874911746569,0.7734713703240045
0.2201491694572946,0.02462234727673902,0.7552284832659663
0.7717401399753963,0.19581132291168707,0.032448537112916696
0.9874858419635875,0.011994493802171128,0.0005196642342411945
0.9901566775801844,0.003726164544179934,0.006117157875635553
0.9918501764561874,0.007844154451412661,0.00030566909239978336
0.12005219221146732,0.0044895500787549125,0.8754582577097777
0.9522792483099488,0.04708787307851676,0.0006328786115344465
0.9463489131163625,0.05303458872481713,0.0006164981588205406
0.9527681198574874,0.04659834485793866,0.0006335352845736992
0.26858031712104263,0.005711661762777038,0.7257080211161802
0.34759203510726133,0.006951501307835026,0.6454564635849036
0.9804994732134061,0.019087958025193145,0.00041256876140057685
0.4924885840550514,0.08089255782605584,0.4266188581188927
0.6625520898355919,0.09123034171501096,0.24621756844939713
0.642034695664686,0.09708325642886455,0.2608820479064495
0.3731721400260398,0.16427794321228878,0.46254991676167156
0.30556243962627555,0.30152215417214767,0.3929154062015768
0.9947237369578072,0.005105966329908886,0.000170296712283879
0.995185316838628,0.004639143524523467,0.0001755396368484338
0.6870373575024663,0.25233292257670503,0.060629719920828475
0.5827705472812206,0.264449086334237,0.15278036638454226
0.4708188710956864,0.02914547890017465,0.5000356500041389
0.18741862865371328,0.005183742721674467,0.8073976286246123
0.2861782297758261,0.6369699384364023,0.07685183178777162
0.5549313349462808,0.44238988718431127,0.002678777869408124
0.22538174821505236,0.7487035429490284,0.02591470883591914
0.9972056392251833,0.0026946010451483426,9.975972966829192e-05
0.9807840613224307,0.003999999350304972,0.015215939327264325
0.7931394796860253,0.20047591730270656,0.006384603011268207
0.780421331230447,0.214050238503447,0.005528430266106022
0.9557223008666637,0.042838442780615986,0.0014392563527201498
0.992156002368169,0.0021644506175762758,0.005679547014254734
0.9901073974805519,0.009310135324082336,0.0005824671953660255
0.9815462198816087,0.017846607708273985,0.0006071724101173088
0.8019627543228154,0.1947899653596188,0.0032472803175658147
0.9927358264579396,0.0069829878991718355,0.0002811856428886096
0.9079460188236472,0.08936817242437588,0.0026858087519766923
