c0_nn_stage1_stack,c1_nn_stage1_stack,c2_nn_stage1_stack
0.8683189749717712,0.13168108463287354,5.1425579350450334e-09
0.8308343291282654,0.13857261836528778,0.030593082308769226
0.8419815897941589,0.12578196823596954,0.03223635256290436
0.9915874600410461,0.008412571623921394,2.9468518702294163e-19
0.9802091121673584,0.019790874794125557,1.702923964893278e-18
0.9982366561889648,1.24274649238032e-07,0.0017632353119552135
1.0,4.123246008252995e-16,4.3280543593482435e-08
0.36527466773986816,0.18201299011707306,0.45271235704421997
0.7957783937454224,0.20421385765075684,7.770435331622139e-06
0.8066563606262207,0.1933433562517166,3.178232361733535e-07
0.8929015398025513,0.10708257555961609,1.590312967891805e-05
0.8932024240493774,0.10678517818450928,1.2398999388096854e-05
0.9999837875366211,2.6602116065532755e-08,1.6176207282114774e-05
0.8067300915718079,0.17089204490184784,0.022377802059054375
0.9184666872024536,0.0506444089114666,0.0308888778090477
0.8771826028823853,0.08579704910516739,0.03702036663889885
0.5279191136360168,0.10599978268146515,0.3660811185836792
0.4879103899002075,0.4044322371482849,0.10765744745731354
0.26489922404289246,0.6312647461891174,0.1038360670208931
0.36012670397758484,0.4977818727493286,0.14209143817424774
0.9378761053085327,0.062123898416757584,5.8464990661255545e-12
0.15070801973342896,0.829085111618042,0.020206809043884277
0.9952684044837952,0.00473156338557601,3.604948582481833e-26
0.9997716546058655,0.00022832199465483427,1.5642643189474446e-36
0.9989641904830933,0.0010358444415032864,6.007719466918424e-32
0.7198646068572998,0.2401953935623169,0.03993995487689972
0.8991297483444214,0.001103261485695839,0.09976698458194733
0.7884994149208069,0.182613804936409,0.028886757791042328
0.9999998807907104,1.0406292005882278e-07,0.0
0.8006027340888977,0.19939561188220978,1.7331054777969257e-06
0.8395320773124695,0.16046765446662903,1.5469294112335774e-07
0.8128764629364014,0.1871233731508255,2.1110933801082865e-07
0.8185941576957703,0.18140485882759094,1.0336832474422408e-06
0.3471544682979584,0.652800977230072,4.461371645447798e-05
0.24647267162799835,0.75351881980896,8.513754437444732e-06
0.41468220949172974,0.11851681768894196,0.4668009877204895
0.399731308221817,0.11815886199474335,0.4821099042892456
0.9981133937835693,0.001886666752398014,4.2282816926987417e-29
0.9026304483413696,0.0973668098449707,2.7267474251857493e-06
0.9946678876876831,9.685386430646759e-06,0.005322374869138002
1.0,1.8930983534168952e-21,9.013139123936753e-10
0.4864848554134369,0.13007184863090515,0.38344332575798035
0.30852025747299194,0.2069944590330124,0.4844852387905121
0.43502771854400635,0.1259174644947052,0.43905478715896606
0.8592367172241211,0.1382441371679306,0.0025191381573677063
0.91249018907547,0.08750979602336884,3.194612929746654e-08
0.9155913591384888,0.08440857380628586,1.4575216034096172e-10
0.7862292528152466,0.019198596477508545,0.1945720762014389
0.919775664806366,0.08022433519363403,2.7915620925966778e-09
0.9342529773712158,0.06574701517820358,1.9108265317258066e-11
0.3561132848262787,0.17345696687698364,0.47042974829673767
0.17883440852165222,0.1922450214624405,0.6289204955101013
0.80914705991745,0.1908528357744217,6.341264935372237e-08
0.8097753524780273,0.19022418558597565,4.651167841984716e-07
0.8113097548484802,0.1886902153491974,4.02915611985577e-09
0.7702596187591553,0.22974036633968353,3.271339865662526e-09
0.5555218458175659,0.4444780647754669,5.177031581204972e-10
0.7558135390281677,0.24418653547763824,1.5005870990236758e-09
0.5397248268127441,0.03213082626461983,0.4281443655490875
0.367824524641037,0.537541925907135,0.0946335420012474
0.7530186772346497,0.24698080122470856,4.5485796817956725e-07
0.3397587835788727,0.11627007275819778,0.5439711809158325
0.3175702393054962,0.28826719522476196,0.3941625654697418
0.9999963045120239,3.6680094126495533e-06,0.0
0.6927711367607117,0.010737054981291294,0.2964917719364166
0.8880245685577393,1.50446667248616e-05,0.11196034401655197
0.9960265159606934,0.003973502200096846,4.7714449067519204e-24
0.9999630451202393,1.2028850138179337e-10,3.700116940308362e-05
0.6251036524772644,0.08823318034410477,0.28666314482688904
0.05432764068245888,0.945672333240509,6.717946827861531e-19
0.3127797842025757,0.2891533374786377,0.3980668783187866
0.5413653254508972,0.4567145109176636,0.0019201020477339625
0.9994317889213562,2.3153772232831216e-08,0.0005682368064299226
0.5490908622741699,0.4509057104587555,3.3978735700657126e-06
0.8593488931655884,0.1398453414440155,0.0008058616076596081
0.5031720399856567,0.10404150187969208,0.3927863836288452
0.44583985209465027,0.1294434517621994,0.4247167110443115
0.45432010293006897,0.12478511035442352,0.4208947420120239
0.4561980068683624,0.31911587715148926,0.22468610107898712
0.9714403748512268,0.028559599071741104,2.153440813126047e-17
1.0,9.197279059309332e-20,4.4198536386375054e-08
0.983937680721283,0.016062363982200623,2.5840541655366572e-17
0.4843747913837433,0.08504404127597809,0.4305812120437622
0.9117835164070129,0.08821646869182587,1.1366804199275382e-11
0.930941104888916,0.06905882805585861,2.4736733928582e-13
0.9216312170028687,0.07836876809597015,1.0981795984729703e-12
0.44337543845176697,0.09801218658685684,0.4586124122142792
0.6250877976417542,0.08522670716047287,0.2896854281425476
0.9979436993598938,0.0020562978461384773,1.469156657994429e-27
0.35193416476249695,0.2563379406929016,0.39172786474227905
0.3634226322174072,0.14817869663238525,0.48839864134788513
0.3953773081302643,0.31176409125328064,0.29285866022109985
0.4530058205127716,0.29077985882759094,0.25621429085731506
0.6474241018295288,0.2830912470817566,0.06948471814393997
0.9998515844345093,0.000148385573993437,1.478906340500813e-33
0.9969717264175415,0.003028289880603552,1.090339630850293e-25
