x,y,z,c,g,c_range,g_range
125435.4141,575764.625,1736.2954100000002,0.230409965,-0.003612997,2,1
125485.5234,575053.4375,1423.792725,0.217301637,-0.0036134390000000004,2,1
125485.5234,575063.4375,1423.792725,0.217301637,-0.0036134390000000004,2,1
124793.9844,577297.1875,1716.133911,0.21079482100000002,-0.003613737,2,1
123871.9375,577687.8125,1786.698975,0.24645707,-0.003613781,2,1
125966.5938,575814.6875,1292.743286,0.24673847899999998,-0.003613835,2,1
126297.3281,577357.25,1081.047974,0.258664489,-0.003614011,2,1
125575.7266,576035.0625,1484.2771,0.24548968699999998,-0.003614095,2,1
125234.9688,576025.0625,1695.972534,0.22156041899999998,-0.00361414,2,1
125214.9219,576045.0625,1706.0531010000002,0.22156041899999998,-0.00361414,2,1
125204.8984,576055.0625,1706.0531010000002,0.22156041899999998,-0.00361414,2,1
125214.9219,576055.0625,1706.0531010000002,0.22156041899999998,-0.00361414,2,1
126157.0156,577217.0,1202.016724,0.26153537600000004,-0.003614458,2,1
125485.5234,575063.4375,1433.873535,0.216907501,-0.0036144659999999998,2,1
125485.5234,575073.4375,1433.873535,0.216907501,-0.0036144659999999998,2,1
125485.5234,575073.4375,1443.954224,0.216116935,-0.0036145609999999996,2,1
125786.1875,575864.75,1413.712036,0.247344628,-0.0036147270000000003,2,1
125054.5625,575153.5625,1685.8917239999998,0.191894144,-0.0036147790000000003,1,1
125024.5,575153.5625,1695.972534,0.191894144,-0.0036147790000000003,1,1
125034.5234,575153.5625,1695.972534,0.191894144,-0.0036147790000000003,1,1
125124.7188,576906.5,1625.407349,0.226412296,-0.003614804,2,1
125214.9219,574993.3125,1585.0844730000001,0.19963415,-0.0036148079999999997,1,1
124413.1406,576245.4375,2048.798096,0.158324078,-0.003615443,1,1
124413.1406,576255.4375,2048.798096,0.158324078,-0.003615443,1,1
124413.1406,576265.4375,2048.798096,0.158324078,-0.003615443,1,1
125365.2578,575043.375,1464.1157230000001,0.21237890399999998,-0.003616029,2,1
125816.2578,575954.9375,1363.30835,0.250254214,-0.0036163709999999997,2,1
125485.5234,575083.5,1443.954224,0.21651242699999998,-0.0036164020000000003,2,1
124573.5,578058.4375,2008.4750980000001,0.192309096,-0.003616435,1,1
125114.7031,576205.3125,1706.0531010000002,0.216856346,-0.003616453,2,1
125114.7031,576215.375,1706.0531010000002,0.216856346,-0.003616453,2,1
125074.6094,576255.4375,1706.0531010000002,0.216856346,-0.003616453,2,1
125084.6328,576255.4375,1706.0531010000002,0.216856346,-0.003616453,2,1
124563.4766,575373.9375,1877.425537,0.18743038199999998,-0.003616467,1,1
124563.4766,575394.0,1877.425537,0.18743038199999998,-0.003616467,1,1
125535.6328,576205.3125,1494.35791,0.247648284,-0.00361697,2,1
125525.6094,576245.4375,1504.438599,0.247648284,-0.00361697,2,1
124373.0547,576726.1875,1988.313721,0.152308553,-0.0036173570000000003,1,1
125174.8359,576085.125,1716.133911,0.21820668899999998,-0.0036175240000000004,2,1
125916.4844,575654.4375,1333.0661619999998,0.24032720899999999,-0.0036175409999999997,2,1
126367.4844,577437.375,1040.724976,0.257778049,-0.003617787,2,1
125726.0547,575854.75,1433.873535,0.24599771199999998,-0.00361861,2,1
125746.1016,575884.8125,1433.873535,0.24599771199999998,-0.00361861,2,1
125756.125,575884.8125,1433.873535,0.24599771199999998,-0.00361861,2,1
125214.9219,576485.8125,1615.326538,0.22702512100000002,-0.0036186879999999997,2,1
125174.8359,576545.9375,1665.730225,0.223470673,-0.0036188709999999996,2,1
125154.7891,576565.9375,1685.8917239999998,0.223470673,-0.0036188709999999996,2,1
125786.1875,575864.75,1403.6313480000001,0.247524932,-0.003618911,2,1
125174.8359,576545.9375,1675.811035,0.222252384,-0.0036191,2,1
125154.7891,576565.9375,1695.972534,0.222252384,-0.0036191,2,1
125726.0547,575854.75,1464.1157230000001,0.245569378,-0.003619102,2,1
125756.125,575884.8125,1464.1157230000001,0.245569378,-0.003619102,2,1
125104.6797,576185.3125,1716.133911,0.216889143,-0.003619582,2,1
125104.6797,576195.3125,1716.133911,0.216889143,-0.003619582,2,1
124433.1875,575744.5625,1937.910034,0.17737475,-0.00361959,1,1
124443.2031,575774.625,1937.910034,0.17737475,-0.00361959,1,1
124413.1406,575744.5625,1947.9907230000001,0.17737475,-0.00361959,1,1
124413.1406,575764.625,1947.9907230000001,0.17737475,-0.00361959,1,1
125695.9922,576155.25,1393.5505369999998,0.254080266,-0.0036199459999999998,2,1
125214.9219,574993.3125,1544.761475,0.202350467,-0.0036203290000000003,2,1
124924.2734,575564.25,1816.941284,0.191522747,-0.0036203990000000003,1,1
125575.7266,576045.0625,1534.680786,0.244161233,-0.00362049,2,1
125595.7656,576045.0625,1534.680786,0.244161233,-0.00362049,2,1
124964.3672,578218.6875,2008.4750980000001,0.198952392,-0.003620528,1,1
125695.9922,576155.25,1383.469849,0.254479736,-0.003620915,2,1
125886.4141,576636.0625,1302.823975,0.262319922,-0.003621096,2,1
124353.0078,577106.875,1897.587036,0.17674616,-0.003621171,1,1
126237.1953,577277.125,1161.693726,0.260147929,-0.003621676,2,1
125916.4844,575654.4375,1403.6313480000001,0.23956407600000001,-0.003621729,2,1
123711.5781,575654.4375,2149.605225,0.197296947,-0.0036218440000000004,1,1
125716.0391,575854.75,1554.842285,0.244255215,-0.0036220059999999997,2,1
124152.5625,575394.0,1897.587036,0.19045673300000002,-0.00362218,1,1
125966.5938,575814.6875,1272.5817869999998,0.24705350399999998,-0.00362334,2,1
124773.9453,575424.0625,1837.102661,0.185386568,-0.0036236709999999997,1,1
125234.9688,576145.25,1665.730225,0.224809006,-0.003623714,2,1
125776.1719,575904.8125,1423.792725,0.248155102,-0.003623848,2,1
125766.1484,575944.9375,1423.792725,0.248155102,-0.003623848,2,1
125756.125,575954.9375,1423.792725,0.248155102,-0.003623848,2,1
125004.4531,575203.6875,1716.133911,0.194073185,-0.0036245609999999997,1,1
124824.0547,576926.5625,1746.3760989999998,0.20797526800000002,-0.003624567,2,1
125936.5234,575934.875,1131.451538,0.254380733,-0.0036247959999999996,2,1
124824.0547,576926.5625,1766.5375980000001,0.20517140600000003,-0.003624965,2,1
125625.8359,576245.4375,1413.712036,0.254444063,-0.0036249859999999997,2,1
124473.2734,575954.9375,1927.8292239999998,0.16953565199999998,-0.003625753,1,1
124463.25,575934.875,1937.910034,0.16953565199999998,-0.003625753,1,1
124463.25,575954.9375,1937.910034,0.16953565199999998,-0.003625753,1,1
125716.0391,576095.1875,1413.712036,0.252356887,-0.0036259720000000003,2,1
125665.9219,576125.1875,1413.712036,0.252356887,-0.0036259720000000003,2,1
