c0_svm_stage1_stack,c1_svm_stage1_stack,c2_svm_stage1_stack
0.9897178238161298,0.008506878135000683,0.0017752980488693667
0.9890707599622175,0.009806065928096429,0.00112317410968593
0.8190671438258899,0.16397216251240768,0.01696069366170249
0.9848069732761691,0.013893805476113468,0.001299221247717416
0.973571996379792,0.02522301733136543,0.0012049862888425622
0.8898902883663099,0.04860190222068078,0.06150780941300934
0.9912679248121374,0.007744226221075073,0.0009878489667874079
0.9961818791093885,0.0033462764226195978,0.0004718444679919107
0.9958136681581208,0.0037088909894899768,0.00047744085238923324
0.9894929635918872,0.009003901492672708,0.0015031349154401724
0.9906040505157636,0.008366579337698373,0.001029370146537955
0.931797029856129,0.0659002166538442,0.0023027534900267065
0.994666036562318,0.004404994938059014,0.0009289684996230955
0.8933426469061458,0.09411131037553824,0.01254604271831589
0.9899340943146936,0.008829872675476996,0.0012360330098292892
0.988219953230408,0.010056669518479756,0.0017233772511122802
0.9745355531272768,0.023020570576586494,0.002443876296136696
0.7689293939637378,0.22658512699104214,0.004485479045219974
0.9911611999131827,0.007118515038716076,0.0017202850481011906
0.9959472762800347,0.003548243374592237,0.0005044803453732464
0.8850807582575524,0.11233505141655335,0.0025841903258941312
0.9908102080252065,0.008192187998486504,0.0009976039763070989
0.9913083461661267,0.007615292827001851,0.001076361006871513
0.9943394178021308,0.00447197185173576,0.0011886103461335635
0.9874499301325367,0.011381170275694264,0.0011688995917691065
0.7809527860174899,0.21501406364509917,0.004033150337410884
0.7481004345929447,0.24747305490858382,0.0044265104984715226
0.7783232051374764,0.21761036363177108,0.0040664312307525895
0.9959129604743902,0.003580518589916913,0.0005065209356929619
0.9909537050949734,0.007974175184230515,0.0010721197207961685
0.9807034931317014,0.017879165344292392,0.0014173415240063911
0.9897187080944667,0.008793289123029964,0.0014880027825034444
0.9817096732323934,0.016787889204858526,0.0015024375627479124
0.9906676300072094,0.008222187208183792,0.001110182784607003
0.9811995247315737,0.017460486122385915,0.0013399891460403083
0.989807949577753,0.009107015592879476,0.0010850348293675973
0.7970649577558075,0.19896530787564748,0.003969734368544905
0.7953976965741336,0.20061358584646508,0.003988717579401215
0.990876701602799,0.007342294140394841,0.0017810042568060546
0.9874220404278868,0.011280770725914093,0.0012971888461988565
0.9874220404278868,0.011280770725914093,0.0012971888461988565
0.9884769293587294,0.010291371085138312,0.0012316995561322303
0.9913103356870263,0.00782610464819343,0.000863559664780319
0.7230420404672895,0.26941342768129256,0.007544531851417901
0.9908211074192682,0.008100297705520738,0.001078594875210994
0.991789734100605,0.006822773787172394,0.0013874921122225736
0.9841973411312704,0.014477054140254726,0.0013256047284750036
0.5941289078228499,0.40063903762378933,0.005232054553360808
0.6950838518184214,0.2999124319761869,0.005003716205391808
0.9858367578639389,0.012956334994931392,0.001206907141129783
0.9958118834698549,0.0036888179944852524,0.0004992985356597513
0.9898339304524856,0.009113102420687014,0.001052967126827327
0.8453963353591718,0.1415571181036449,0.013046546537183226
0.7864072062171974,0.20948424691322828,0.004108546869574296
0.9962922167952991,0.0032455842826674044,0.0004621989220335198
0.990805274460748,0.008217695951379694,0.0009770295878724505
0.9895071127841201,0.009432179166767756,0.001060708049112139
0.9912921608859134,0.0076288526565549426,0.0010789864575317593
0.9912530217977653,0.007765051134481419,0.0009819270677532796
0.9912530217977653,0.007765051134481419,0.0009819270677532796
0.36398184972585845,0.25548029970988745,0.3805378505642541
0.9907705163573693,0.008198281129196652,0.0010312025134338906
0.9273849064050875,0.03404385592665128,0.038571237668261184
0.9908982002445699,0.008102360294630153,0.0009994394607999839
0.99059379703406,0.008377362072418097,0.0010288408935218677
0.9961526604111696,0.0033768365924082824,0.00047050299642218665
0.9813259720795289,0.01730019429365056,0.0013738336268204296
0.9546926342824709,0.040880301989296146,0.00442706372823302
0.9890319623867814,0.009778122137077676,0.0011899154761410454
0.9904635223187155,0.008433964280697226,0.00110251340058714
0.9870518502093467,0.011692248759169799,0.001255901031483578
0.9372678840662197,0.06039801799076594,0.002334097943014279
0.9901755516274543,0.008722549751569516,0.0011018986209762039
0.9905130420130569,0.00845950164528226,0.0010274563416607884
0.9857499660385861,0.013039209470434987,0.001210824490978804
0.7565390389608624,0.23886792104894564,0.004593039990192113
0.9909958593196806,0.008015600120657747,0.0009885405596615998
0.9946469535701927,0.004404910426795309,0.0009481360030118634
0.6779691608225352,0.3170599701606527,0.004970869016812205
