c0_nn_stage1_stack,c1_nn_stage1_stack,c2_nn_stage1_stack
0.99998939037323,1.0589621524559334e-05,4.003002037853646e-21
0.9999998807907104,1.1612578987296729e-07,4.82823775804113e-38
0.9603531360626221,0.03959120064973831,5.568145206780173e-05
0.9999997615814209,1.9272123097380245e-07,3.522536887685024e-23
1.0,3.310284268920327e-09,0.0
0.9978089928627014,0.00011618680582614616,0.002074834192171693
0.9999994039535522,5.650938419421436e-07,2.1048416139835186e-28
1.0,9.981536430725413e-12,0.0
1.0,4.178932200282759e-11,0.0
1.0,2.319116454430059e-08,1.0335528049796315e-20
0.9999998807907104,7.004614133165887e-08,0.0
0.9767922759056091,0.023207686841487885,2.267047660708954e-10
1.0,6.972230570667648e-10,0.0
0.9752519130706787,0.024348272010684013,0.00039981756708584726
0.9999994039535522,5.921042998124904e-07,1.6371558729403456e-24
1.0,5.407834891002494e-08,2.272647525652033e-23
0.9994367957115173,0.0005631568492390215,5.700572101435334e-17
0.747287929058075,0.2526787221431732,3.34419819409959e-05
0.9999998807907104,7.890550079991954e-08,4.454290775378799e-26
1.0,2.339341220736202e-10,0.0
0.9521292448043823,0.04787076637148857,7.160026911645634e-12
1.0,2.157830358839874e-09,0.0
1.0,1.7215679548598928e-08,1.0021940081192482e-26
1.0,2.2574049296508747e-09,0.0
0.9999996423721313,3.8239599575717875e-07,1.1994911249657365e-27
0.652376115322113,0.3476126790046692,1.1125652235932648e-05
0.7087709903717041,0.2912265360355377,2.455690491842688e-06
0.6632717847824097,0.33671942353248596,8.753787369641941e-06
1.0,1.1796745802428177e-09,0.0
0.9999991655349731,8.937641382544825e-07,1.7498272436148419e-28
0.9992380142211914,0.0007619565585628152,6.654515355004955e-21
0.9999996423721313,3.9732114487378567e-07,2.8276712222836816e-18
0.9879806637763977,0.01201927475631237,2.1446944104697033e-15
0.9999997615814209,1.9614297741554765e-07,6.185467602301687e-26
0.9999909400939941,9.028775821207091e-06,2.371422156435513e-22
0.9999991655349731,7.813450224603002e-07,2.0748736236423513e-36
0.8580106496810913,0.14198896288871765,4.2163998159594485e-07
0.8579295873641968,0.14207012951374054,3.2182478548747895e-07
0.9999643564224243,3.565196675481275e-05,1.783551533945506e-18
0.9999990463256836,9.410134111931256e-07,9.445732440043813e-29
0.9999990463256836,9.355951533507323e-07,8.784529995627186e-29
0.9999983310699463,1.6566887097724248e-06,3.880754550108141e-34
1.0,3.643461354840838e-08,1.1593466583934387e-32
0.6784043908119202,0.32076334953308105,0.0008322727517224848
0.9999996423721313,3.392522671674669e-07,1.6350487703327556e-29
0.9999978542327881,2.1770688363176305e-06,3.9644796753105226e-22
0.9999748468399048,2.5128563720500097e-05,5.464098571288439e-20
0.5111990571022034,0.48385128378868103,0.004949643276631832
0.6063029170036316,0.3935118019580841,0.000185286597115919
0.999381422996521,0.0006185866659507155,4.749621860033038e-18
1.0,4.726454599026959e-18,0.0
0.999998927116394,1.0330683153370046e-06,3.516859060164138e-28
0.9024348258972168,0.09753993153572083,2.5329291020170785e-05
0.7096355557441711,0.2902841866016388,8.028388401726261e-05
1.0,3.3561903256540404e-10,7.482499087563882e-35
0.9999983310699463,1.6493787597937626e-06,7.295605901448655e-23
0.9999984502792358,1.580520574862021e-06,3.452893485958945e-26
0.9999986886978149,1.2665069561990094e-06,3.831339013388686e-23
0.9999984502792358,1.6073665847216034e-06,9.413793804885191e-27
0.9999982118606567,1.7445631783630233e-06,1.1099606507526004e-26
0.37862250208854675,0.47405222058296204,0.1473252773284912
0.9999998807907104,1.2748085964631173e-07,0.0
0.9965811371803284,0.00015974997950252146,0.003259124932810664
0.9999998807907104,1.6396647595229297e-07,0.0
0.9999972581863403,2.7271723865851527e-06,7.263814267091566e-27
1.0,3.341527792313781e-12,0.0
0.994940996170044,0.005058985203504562,1.1727475761336148e-11
0.9742870926856995,0.009448829106986523,0.0162641778588295
0.9999994039535522,5.960225166745658e-07,1.7860363636097746e-27
0.9999997615814209,2.3500035695178667e-07,1.694471232280947e-29
0.9999992847442627,6.913348329362634e-07,9.970097712375003e-30
0.8991177082061768,0.10088229924440384,5.866161723044883e-11
0.9999996423721313,3.3169004609590047e-07,5.662191666039697e-28
1.0,5.234317423941093e-09,0.0
1.0,2.0374873344053412e-08,0.0
0.8923869729042053,0.10761300474405289,2.534722952363122e-11
0.9999996423721313,3.4085201150446665e-07,0.0
1.0,1.0937792893628284e-09,0.0
0.5481818914413452,0.4511292278766632,0.0006888279458507895
0.9999998807907104,9.549441415401816e-08,1.51405235374357e-25
0.4705025553703308,0.41614603996276855,0.11335140466690063
0.47315508127212524,0.4171411693096161,0.10970383137464523
0.4724990427494049,0.4281751215457916,0.09932589530944824
0.4731052815914154,0.42869803309440613,0.09819671511650085
0.42599812150001526,0.4535766541957855,0.12042521685361862
0.431117981672287,0.4368562400341034,0.13202571868896484
0.9999995231628418,4.90137324504758e-07,7.212582610345372e-20
0.9999986886978149,1.3004768106839038e-06,1.2547126209263717e-26
0.9999983310699463,1.715787561806792e-06,8.796781225041282e-25
0.9999918937683105,8.098299986158963e-06,3.9421669023785273e-22
0.9999997615814209,2.1684994067072694e-07,1.6530733681263435e-29
0.6606820821762085,0.3391996920108795,0.00011816159531008452
0.9999980926513672,1.924080834214692e-06,3.58699698417004e-22
0.9999973773956299,2.6427474040247034e-06,8.843086621803948e-21
0.9999998807907104,1.7652777728471847e-07,1.503747273979417e-35
0.9999997615814209,2.1104807501615142e-07,2.2756173010462332e-35
0.9999996423721313,3.8582800243602833e-07,1.1143396590010537e-35
0.9885413646697998,0.011458621360361576,1.778186688646671e-17
0.9971874356269836,0.002812531078234315,1.47616613943184e-16
0.9981352090835571,0.0018647832330316305,3.53380954454412e-17
0.9999978542327881,2.098828417729237e-06,3.215787846727436e-32
0.9999991655349731,8.270469606941333e-07,2.4107200225705355e-27
0.9999998807907104,1.548068553347548e-07,0.0
1.0,2.6241439576857317e-10,4.5166338211261495e-37
0.9998886585235596,0.00011138160334667191,1.1991792436546096e-20
0.999997615814209,2.390462668699911e-06,9.549032673372797e-24
0.9999998807907104,1.279327079828363e-07,6.664549609315811e-27
0.9998655319213867,0.0001344656484434381,7.186320595249093e-21
1.0,4.788789809140326e-09,0.0
0.9999998807907104,1.2052116460381512e-07,3.3492629656573687e-37
1.0,3.05986205262343e-08,5.863235795148787e-26
0.9999997615814209,2.5249971713492414e-07,5.543804993099457e-29
0.9999998807907104,1.2567045359901385e-07,1.6684229545514713e-30
0.9988691210746765,0.0011308990651741624,2.5585730322030837e-17
1.0,4.900090111448208e-09,9.365894062740201e-32
0.9999942779541016,5.731029887101613e-06,4.889633625293943e-24
0.5980679988861084,0.38460755348205566,0.01732443831861019
0.6049488186836243,0.3949829638004303,6.819768896093592e-05
0.6495060324668884,0.3504599928855896,3.3953696402022615e-05
0.9999997615814209,2.939113130651094e-07,2.7237030628017823e-35
1.0,1.6258958623893704e-08,4.057049367829149e-29
1.0,1.676109446548113e-12,0.0
1.0,3.81330687512782e-12,0.0
0.999970555305481,2.944020707218442e-05,4.889152388587322e-21
1.0,2.2283537237655082e-09,0.0
0.7838749289512634,0.21156588196754456,0.004559221211820841
0.9684557914733887,0.031544171273708344,2.2753075465398176e-12
0.9999995231628418,5.071013333690644e-07,4.455069668142958e-19
1.0,2.1530048854856432e-08,3.304258286349465e-25
0.9999334812164307,6.648286944255233e-05,8.248188464680663e-18
0.999998927116394,1.0231185569864465e-06,7.828297480562351e-24
0.931940495967865,0.0680595338344574,1.4723803509752997e-08
0.9386701583862305,0.06132981553673744,1.760201533140826e-11
0.9499928951263428,0.03270713612437248,0.017300019040703773
0.9688438177108765,0.020877907052636147,0.010278264991939068
0.4171079099178314,0.35921230912208557,0.2236798256635666
1.0,1.9882515189806327e-08,0.0
0.9999674558639526,3.259674849687144e-05,6.7695863564100245e-21
0.9998385906219482,0.00016133228200487792,7.186980077917148e-20
0.9999982118606567,1.8118145135304076e-06,3.45518518851837e-26
1.0,7.151117475956426e-10,0.0
0.9999988079071045,1.1837240663226112e-06,5.812695772659771e-27
0.8731628060340881,0.12683717906475067,1.1027108393069085e-10
0.9997782111167908,5.3270770877134055e-05,0.00016849974053911865
1.0,2.5480995091697878e-09,3.424837918198015e-34
1.0,1.3286249878063927e-09,4.596292298517454e-29
1.0,1.209251896419923e-16,0.0
0.9959839582443237,0.004016081802546978,1.2960084784188362e-15
0.9985867738723755,0.0014132006326690316,6.708401809827523e-20
0.9761313199996948,0.02086922712624073,0.0029995699878782034
0.9759361147880554,0.021010300144553185,0.0030536360573023558
0.9999403953552246,3.099313471466303e-05,2.8560083592310548e-05
0.9999998807907104,8.242062676799833e-08,3.3850810002965264e-33
